תאריך,שעה,וידאו,סוג מדיה,טקסט הציוץ,קישור,צפיות,לייקים,ריטוויטים,תגובות,שיעור מעורבות %,מקור,tweet_id
2026-06-22,03:19,לא,Text,"מונדיאל 2026: כף ורדה ממשיכה להפתיע ומסיימת בתיקו 2:2 נגד אורוגוואי, כשאת אחד הגולים הליו וארלה ממכבי תל אביב מבקיע. וארלה הוא השחקן הזר הראשון שמשחק בישראל שמבקיע שער במונדיאל בזמן שהוא עדיין משחק בארץ  @YoavBorowitz",https://x.com/kann_news/status/2068851251119337717,3945,8,1,0,0.23,גיליון,2068851251119337717
2026-06-22,05:37,כן,Video,"מונדיאל 2026 | אוהדים איראנים משתפים תסכול לנוכח האיסור של פיפ""א על הנפת דגל איראן של השאה: ""זה נגד חופש הביטוי""   @idogur https://t.co/GBHYGCuSE9",https://x.com/kann_news/status/2068885956409651371,5741,22,2,2,0.47,גיליון,2068885956409651371
2026-06-22,19:35,כן,Video,מאה מיליון פרעונים חוגגים: נבחרת מצרים ומוחמד סלאח רשמו ניצחון ראשון במונדיאל - וגם א-סיסי לא נשאר אדיש  #העולם_היום @kaisos1987 @Yoav__Zehavi @michalresh https://t.co/Ry86FPHrEG,https://x.com/kann_news/status/2069097022645215329,6005,7,3,1,0.18,גיליון,2069097022645215329
2026-06-23,02:27,לא,Text,RT @kann: עד שיתבהרו הדברים (והשמיים) המשחק נדחה  נחזור לשידור בכאן 11 וכאן BOX עם חידוש המשחק #fifaworldcup #כאן_מונדיאל @talberman https:…,https://x.com/kann_news/status/2069200703030022583,1442,0,1,0,0.07,גיליון,2069200703030022583
2026-06-24,17:41,לא,Text,פרסום ראשון: במנהלת הליגות בכדורגל שוקלים לאמץ את הפסקות השתייה במונדיאל - כבר בעונה הקרובה  https://www.kan.org.il/content/kan-news/sport/1062428/  כאן חדשות ברשת ב'🎙️| #צבעהכסף @YoavBorowitz,https://x.com/kann_news/status/2069793159609983327,51473,20,1,21,0.13,גיליון,2069793159609983327
2026-06-24,22:27,כן,Video,"מחר במהדורת כאן חדשות | מהפכת השיזוף - ואזהרת הרופאים, וגם: טירוף מדונה מגיע למונדיאל  @talberman https://t.co/MD5n0CIMQS",https://x.com/kann_news/status/2069865050970411310,10155,5,1,1,0.07,גיליון,2069865050970411310
2026-06-25,05:59,כן,Video,"הערב במהדורת כאן חדשות | מהפכת השיזוף - ואזהרת הרופאים, וגם: טירוף מדונה מגיע למונדיאל  @talberman https://t.co/xXHuiyOkCW",https://x.com/kann_news/status/2069978707888918754,39736,14,8,4,0.08,גיליון,2069978707888918754
2026-06-26,01:27,לא,Text,"מונדיאל 2026: אקוודור הדהימה את גרמניה עם 2-1 ועלתה לשלב הבא מהמקום השלישי בבית, חוף השנהב עלתה מהמקום השני לאחר ניצחון 2-0 על קורסאו   @YoavBorowitz",https://x.com/kann_news/status/2070272663377862904,4117,6,1,6,0.32,גיליון,2070272663377862904
2026-06-26,04:16,לא,Text,"מונדיאל 2026: הולנד ניצחה 1-3 את תוניסיה ועלתה לשלב הבא לצד יפן ושוודיה, שהמפגש ביניהן נגמר בתיקו 1-1  @YoavBorowitz",https://x.com/kann_news/status/2070315139429961814,4113,3,0,0,0.07,גיליון,2070315139429961814
2026-06-27,06:47,לא,Text,"מונדיאל 2026: כף ורדה העפילה לשלב הבא בטורניר אחרי 0-0 עם ערב הסעודית, והפכה למדינה הקטנה ביותר בהיסטוריה שעושה זאת | צפו בתקציר &gt;&gt;&gt; https://www.kan.org.il/content/worldcup/games/cpvvsksa/s1/1064769/",https://x.com/kann_news/status/2070715626377630020,5325,6,0,0,0.11,גיליון,2070715626377630020
2026-06-27,08:25,לא,Text,מונדיאל 2026: בלגיה הביסה 1:5 את ניו זילנד והעפילה לשלב הבא. מצרים עלתה גם היא בתום תיקו 1:1 דרמטי עם איראן - שזקוקה לנס כדי להעפיל לשלב הבא בטורניר  @YoavBorowitz,https://x.com/kann_news/status/2070740327187513740,4804,10,2,1,0.27,גיליון,2070740327187513740
2026-06-29,22:15,כן,Video,"מדוע הנשיא של קוריאה הדרומית החליט שיש לח��ור את ההפסד של הנבחרת במונדיאל? אבירם רייכרט, פרופסור באוניברסיטת סיאול, הסביר  @michalresh | #העולם_היום https://t.co/gUzJIolvGz",https://x.com/kann_news/status/2071674033033167247,4581,7,1,0,0.17,גיליון,2071674033033167247
2026-07-01,00:33,לא,Text,מונדיאל 2026: בצל ההדחה מול מרוקו - רונאלד קומאן התפטר מתפקידו כמאמן נבחרת הולנד,https://x.com/kann_news/status/2072070950615404793,8916,19,0,0,0.22,גיליון,2072070950615404793
2026-07-01,02:00,לא,Text,"מונדיאל 2026: צרפת הביסה 0:3 את שוודיה עם צמד של אמבפה והעפילה לשמינית הגמר, שם תפגוש את פרגוואי  @YoavBorowitz",https://x.com/kann_news/status/2072093049786617981,3721,5,0,1,0.16,גיליון,2072093049786617981
2026-07-01,12:12,כן,Video,"הצעת נישואין של זוג מקסיקני בניו יורק קיבלה תפנית - כשעשרות צעירים ישראלים התחילו לחגוג להם בספונטניות. ישראל טוויל, כדורגלן שנמצא במשלחת של ישראלים למונדיאל, סיפר: ""האישה חשבה שהגבר הזמין אותנו""   @YonatanOh | #כאןבשלוש https://t.co/5opQG5IsZf",https://x.com/kann_news/status/2072246908840562882,20275,22,1,3,0.14,גיליון,2072246908840562882
2026-07-01,22:53,כן,Video,חותרים בלתי נלאים: נורווגיה עלתה לשמינית הגמר וסחפה אחריה מדינה שלמה | הדיווח של @DovGilHar   #מהדורתכאןחדשות עם @TaliMoreno_ https://t.co/RWDEVPGm82,https://x.com/kann_news/status/2072408384045793635,6179,12,1,1,0.24,גיליון,2072408384045793635
2026-07-03,13:04,לא,Text,לאחר הכישלון במונדיאל: מאמן נבחרת גרמניה יוליאן נגלסמן סיים את תפקידו   @itamargalit,https://x.com/kann_news/status/2072984924949205124,7905,12,1,2,0.2,גיליון,2072984924949205124
2026-07-03,21:02,כן,Video,מי אחראי לשירי האוהדים האהובים ביותר?   מחר ב-20:00 ב-#מהדורתכאןחדשות | @pelegnet https://t.co/vb1X1O1qDV,https://x.com/kann_news/status/2073105034334605328,45776,17,1,10,0.08,גיליון,2073105034334605328
2026-07-06,17:24,לא,Text,"טראמפ על סערת הכרטיס האדום לבאלוגון: ""לא אמרתי לפיפ""א מה לעשות, אבל זו החלטה נכונה"" @itamargalit",https://x.com/kann_news/status/2074137521739460621,9431,7,1,2,0.12,גיליון,2074137521739460621
2026-07-06,18:21,כן,Video,"טראמפ: ""אין זה הוגן שפיפ""א תרחיק את אחד משחקניה הטובים ביותר של ארה""ב"" https://www.kan.org.il/content/kan-news/global/1072060/  @itamargalit https://t.co/iZzU0DVsFN",https://x.com/kann_news/status/2074151821531115762,8809,4,2,3,0.12,גיליון,2074151821531115762
2026-07-07,19:27,כן,Video,רגע האמת באטלנטה: מסי וארגנטינה נלחמים ברגעים אלו מול סלאח ומצרים על כרטיס לרבע הגמר. הלחץ בשמיים והיציעים סוערים - צפו בדיווח של @Yoav__Zehavi לפני שריקת הפתיחה   #העולםהיום @michalresh https://t.co/K7z56PsnpK,https://x.com/kann_news/status/2074530818299433301,4839,7,3,0,0.21,גיליון,2074530818299433301
2026-07-07,21:47,כן,Video,"""לא האמנו שאפשר לחזור, זה חלום שמתגשם"": @Yoav__Zehavi עם הקולות מהאצטדיון בתום הקאמבק ההיסטורי של ארגנטינה ומסי   #מהדורתכאןחדשות עם @mayarachlin https://t.co/0UC8keYeTo",https://x.com/kann_news/status/2074565879803617294,4522,15,3,1,0.42,גיליון,2074565879803617294
